selection_date,code,name,rank,similarity_score,best_match_case,best_match_date,category,reasons,buy_price,sell_price,return_pct,max_gain_pct,max_gain_day,sell_date,hold_days,trigger_10pct_date,trigger_5pct_date,trigger_neg2pct_date,trigger_neg4pct_date,trigger_10pct_day,trigger_5pct_day,first_reach_order,ever_below_zero,industry,industry_heat_buy,industry_heat_10pct,industry_heat_5pct,industry_heat_neg2pct,industry_heat_neg4pct,industry_heat_sell
2026-03-13,688282,理工导航,5,95.04,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],76.35,72.46,-5.094957432874919,1.5062213490504333,3,2026-03-18,5,,,2026-03-13,2026-03-17,,,"('neg2pct', 'neg4pct')",True,未知,,,,,,
2026-03-16,688282,理工导航,1,95.7,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],76.9,60.9,-20.806241872561777,0.7802340702210588,0,2026-03-23,5,,,2026-03-17,2026-03-17,,,"('neg2pct', 'neg4pct')",True,未知,,,,,,
2026-03-16,603297,永新光学,2,95.66,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],116.21,100.31,-13.68212718354702,2.1254625247397065,1,2026-03-23,5,,,2026-03-16,2026-03-19,,,"('neg2pct', 'neg4pct')",True,未知,,,,,,
2026-03-16,603790,雅运股份,3,95.36,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],23.77,19.47,-18.090029448885154,1.7248632730332356,0,2026-03-23,5,,,2026-03-17,2026-03-19,,,"('neg2pct', 'neg4pct')",True,化工,27.89,,,27.89,27.16,
2026-03-16,300440,运达科技,4,95.29,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],16.16,13.15,-18.626237623762375,1.980198019801982,0,2026-03-23,5,,,2026-03-17,2026-03-17,,,"('neg2pct', 'neg4pct')",True,计算机,80.0,,,80.0,80.0,
2026-03-16,600101,明星电力,5,94.94,case_011,2025-11-12,主板,['匹配case_011: 航天发展 - 航天军工+量能异动+趋势突破'],10.7,10.05,-6.074766355140174,3.831775700934581,0,2026-03-23,5,,,2026-03-17,2026-03-23,,,"('neg2pct', 'neg4pct')",True,未知,,,,,,
2026-03-17,002211,ST宏达,1,96.14,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],3.65,3.31,-9.315068493150681,2.4657534246575423,1,2026-03-23,5,,,2026-03-19,2026-03-20,,,"('neg2pct', 'neg4pct')",True,化工,27.89,,,27.16,25.97,
2026-03-17,301175,中科环保,2,96.08,case_003,2025-06-20,科创板,['匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位'],6.84,6.22,-9.064327485380119,3.5087719298245648,0,2026-03-23,5,,,2026-03-20,2026-03-23,,,"('neg2pct', 'neg4pct')",True,新能源,31.72,,,38.73,,
2026-03-17,301201,诚达药业,3,95.3,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],41.73,37.74,-9.561466570812353,3.354900551162247,0,2026-03-23,5,,,2026-03-19,2026-03-23,,,"('neg2pct', 'neg4pct')",True,未知,,,,,,
2026-03-17,603076,乐惠国际,4,95.19,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],25.71,22.83,-11.20186697782965,2.878257487358998,0,2026-03-23,5,,,2026-03-20,2026-03-23,,,"('neg2pct', 'neg4pct')",True,纺织,20.48,,,20.33,,
2026-03-17,002318,久立特材,5,95.01,case_006,2025-08-04,中小板,['匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位'],31.92,29.32,-8.145363408521307,4.354636591478698,0,2026-03-23,5,,,2026-03-18,2026-03-19,,,"('neg2pct', 'neg4pct')",True,未知,,,,,,
2026-03-18,002887,绿茵生态,1,96.87,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],11.45,10.27,-10.305676855895195,0.8733624454148596,0,2026-03-23,5,,,2026-03-19,2026-03-20,,,"('neg2pct', 'neg4pct')",True,未知,,,,,,
2026-03-18,002136,安 纳 达,2,95.01,case_009,2025-08-01,创业板,['匹配case_009: 新瀚新材 - 缩量后放量+价格接近短期趋势线+J值中位'],13.78,12.03,-12.69956458635704,3.047895500725689,0,2026-03-23,5,,,2026-03-19,2026-03-19,,,"('neg2pct', 'neg4pct')",True,化工,26.91,,,27.16,27.16,
2026-03-18,002357,富临运业,3,94.98,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],14.91,13.34,-10.529845741113348,0.8048289738430531,0,2026-03-23,5,,,2026-03-18,2026-03-19,,,"('neg2pct', 'neg4pct')",True,交通,20.29,,,20.29,20.27,
2026-03-18,603297,永新光学,4,94.83,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],114.2,100.31,-12.162872154115586,0.5253940455341456,0,2026-03-23,5,,,2026-03-19,2026-03-20,,,"('neg2pct', 'neg4pct')",True,未知,,,,,,
2026-03-18,001337,四川黄金,5,94.69,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],53.75,44.76,-16.72558139534884,0.44651162790698046,0,2026-03-23,5,,,2026-03-18,2026-03-19,,,"('neg2pct', 'neg4pct')",True,未知,,,,,,
2026-03-19,000697,ST炼石,5,94.74,case_003,2025-06-20,科创板,['匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位'],9.75,9.17,-5.948717948717949,4.923076923076927,1,2026-03-24,5,,,2026-03-23,2026-03-23,,,"('neg2pct', 'neg4pct')",True,未知,,,,,,
