选股日期,排名,代码,名称,相似度,匹配案例,匹配案例描述,匹配日期,类型,推荐理由,买入价,卖出价,涨跌幅,最大涨幅,最大涨幅天数,卖出日期,持有天数,触发 +10% 日期,触发 +5% 日期,触发 -2% 日期,触发 -4% 日期,达到 +10% 天数,达到 +5% 天数,触发顺序,是否曾跌破成本价,行业,行业热度_买入日,行业热度_10pct 日,行业热度_5pct 日,行业热度_neg2pct 日,行业热度_neg4pct 日,行业热度_卖出日
2025-09-25,6,603806,福斯特,94.5%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,15.56,16.63,+6.88%,+9.58%,第46天,2025-11-10,45,-,2025-10-09,2025-10-13,2025-10-22,-,第14天,"('5pct', 'neg2pct', 'neg4pct')",是,电力设备,80.89,,80.98,73.03,70.29,
2025-09-25,7,000785,居然智家,94.4%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,2.92,2.96,+1.37%,+1.71%,第0天,2025-11-10,45,-,-,2025-09-29,-,-,-,-,是,商贸零售,32.0,,,25.44,,
2025-09-25,8,002211,ST宏达,94.4%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,3.39,3.75,+10.62%,+17.70%,第39天,2025-11-10,45,2025-10-30,2025-09-29,2025-10-17,-,第35天,第4天,"('5pct', 'neg2pct', '10pct')",是,基础化工,64.55,69.84,68.22,67.92,,
2025-09-25,9,600545,卓郎智能,94.2%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,2.94,3.01,+2.38%,+13.95%,第26天,2025-11-10,45,2025-10-17,2025-10-10,2025-09-26,2025-09-29,第22天,第15天,"('neg2pct', 'neg4pct', '5pct', '10pct')",是,建筑装饰,28.43,30.73,30.26,28.28,27.62,
2025-09-25,10,300329,海伦钢琴,94.2%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,13.41,17.13,+27.74%,+43.55%,第41天,2025-11-10,45,2025-10-14,2025-10-13,2025-10-13,2025-10-13,第19天,第18天,"('5pct', 'neg2pct', 'neg4pct', '10pct')",是,轻工制造,28.43,29.96,27.86,27.86,27.86,
2025-09-26,1,002599,盛通股份,96.5%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,8.42,8.35,-0.83%,+2.26%,第0天,2025-11-10,45,-,-,2025-09-29,2025-10-13,-,-,"('neg2pct', 'neg4pct')",是,轻工制造,24.48,,,26.84,27.86,
2025-09-26,2,600776,东方通信,96.0%,case_003 (微芯生物),平台整理+缩量后放量+J值低位,2025-06-20,科创板,匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位,12.58,13.21,+5.01%,+10.41%,第34天,2025-11-10,45,2025-10-30,2025-10-30,2025-10-13,2025-10-13,第34天,第34天,"('neg2pct', 'neg4pct', '10pct', '5pct')",是,通信,38.69,35.39,35.39,34.67,34.67,
2025-09-26,3,300279,和晶科技,96.0%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,7.52,7.51,-0.13%,+3.86%,第13天,2025-11-10,45,-,-,2025-10-13,2025-10-13,-,-,"('neg2pct', 'neg4pct')",是,电子,77.9,,,77.98,77.98,
2025-09-26,4,601872,招商轮船,95.4%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,8.53,8.52,-0.12%,+10.90%,第38天,2025-11-10,45,2025-10-30,2025-10-13,2025-09-29,2025-10-09,第34天,第17天,"('neg2pct', 'neg4pct', '5pct', '10pct')",是,交通运输,24.39,32.66,28.8,33.05,31.56,
2025-09-26,5,603416,信捷电气,95.2%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,63.02,65.14,+3.36%,+5.68%,第45天,2025-11-10,45,-,2025-10-10,2025-10-13,2025-10-13,-,第14天,"('5pct', 'neg2pct', 'neg4pct')",是,电力设备,78.46,,80.57,73.03,73.03,
