选股日期,排名,代码,名称,相似度,匹配案例,匹配案例描述,匹配日期,类型,推荐理由,买入价,卖出价,涨跌幅,最大涨幅,最大涨幅天数,卖出日期,持有天数,触发 +10% 日期,触发 -2% 日期,触发 -4% 日期,达到 +10% 天数,触发顺序
2025-07-25,1,601956,东贝集团,95.8%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,6.7,7.0,+4.48%,+14.63%,第25天,2025-09-08,45,2025-08-19,2025-07-29,2025-08-04,第25天,"('neg2pct', 'neg4pct', '10pct')"
2025-07-25,2,688489,三未信安,95.7%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,40.75,50.85,+24.79%,+46.01%,第28天,2025-09-08,45,2025-08-21,2025-08-01,-,第27天,"('neg2pct', '10pct')"
2025-07-25,3,300211,*ST亿通,95.5%,case_008 (光电股份),缩量后放量+J值低位+趋势上行,2025-07-10,主板,匹配case_008: 光电股份 - 缩量后放量+J值低位+趋势上行,7.1,10.22,+43.94%,+62.25%,第32天,2025-09-08,45,2025-08-08,2025-07-30,-,第14天,"('neg2pct', '10pct')"
2025-07-25,4,600673,东阳光,95.3%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,13.62,23.96,+75.92%,+98.24%,第41天,2025-09-08,45,2025-07-29,-,-,第4天,-
2025-07-25,5,688073,毕得医药,95.3%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,58.98,65.84,+11.63%,+23.16%,第28天,2025-09-08,45,2025-08-22,2025-08-04,2025-08-07,第28天,"('neg2pct', 'neg4pct', '10pct')"
2025-07-25,6,002484,江海股份,95.1%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,21.64,30.88,+42.70%,+75.14%,第39天,2025-09-08,45,2025-07-31,-,-,第6天,-
2025-07-25,7,000617,中油资本,94.9%,case_003 (微芯生物),平台整理+缩量后放量+J值低位,2025-06-20,科创板,匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位,8.845,10.645,+20.35%,+54.15%,第38天,2025-09-08,45,2025-07-29,2025-07-31,2025-08-01,第4天,"('10pct', 'neg2pct', 'neg4pct')"
2025-07-25,8,002204,大连重工,94.9%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,6.38,6.2,-2.82%,+5.96%,第24天,2025-09-08,45,-,2025-07-30,2025-09-03,-,"('neg2pct', 'neg4pct')"
2025-07-25,9,000506,招金黄金,94.5%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,10.56,10.42,-1.33%,+3.41%,第14天,2025-09-08,45,-,2025-07-28,2025-07-31,-,"('neg2pct', 'neg4pct')"
2025-07-25,10,603296,华勤技术,94.4%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,83.8,85.87,+2.47%,+23.51%,第38天,2025-09-08,45,2025-08-21,2025-07-28,2025-07-28,第27天,"('neg2pct', 'neg4pct', '10pct')"
2025-07-28,1,688321,微芯生物,95.4%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,34.0,33.46,-1.59%,+32.32%,第21天,2025-09-11,45,2025-07-29,2025-07-29,2025-09-11,第1天,"('10pct', 'neg2pct', 'neg4pct')"
2025-07-28,2,002735,王子新材,95.0%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,15.57,16.6,+6.62%,+12.40%,第43天,2025-09-11,45,2025-08-29,2025-07-28,2025-07-30,第32天,"('neg2pct', 'neg4pct', '10pct')"
2025-07-28,3,002496,*ST辉丰,94.6%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,1.73,1.63,-5.78%,+0.58%,第0天,2025-09-11,45,-,2025-07-29,2025-07-29,-,"('neg2pct', 'neg4pct')"
2025-07-28,4,688583,思看科技,94.4%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,93.65,99.61,+6.36%,+25.48%,第35天,2025-09-11,45,2025-08-25,2025-07-28,2025-07-30,第28天,"('neg2pct', 'neg4pct', '10pct')"
2025-07-28,5,688520,神州细胞,94.2%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,75.49,60.12,-20.36%,+7.72%,第2天,2025-09-11,45,-,2025-07-29,2025-08-01,-,"('neg2pct', 'neg4pct')"
2025-07-28,6,301141,中科磁业,93.9%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,67.89,64.96,-4.32%,+20.64%,第28天,2025-09-11,45,2025-08-07,2025-07-29,2025-07-29,第10天,"('neg2pct', 'neg4pct', '10pct')"
2025-07-28,7,603089,正裕工业,93.8%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,14.13,16.88,+19.46%,+28.10%,第11天,2025-09-11,45,2025-08-04,-,-,第7天,-
