选股日期,排名,代码,名称,相似度,匹配案例,匹配案例描述,匹配日期,类型,推荐理由,买入价,卖出价,涨跌幅,最大涨幅,最大涨幅天数,卖出日期,持有天数,触发 +10% 日期,触发 -2% 日期,触发 -4% 日期,触发顺序
2025-09-17,4,688283,坤恒顺维,95.8%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,33.45,31.59,-5.56%,+3.08%,第13天,2025-11-03,45,-,2025-09-18,2025-09-18,"('neg2pct', 'neg4pct')"
2025-09-17,5,002294,信立泰,95.8%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,52.61,60.18,+14.39%,+24.75%,第8天,2025-11-03,45,2025-09-24,2025-09-22,2025-09-23,"('neg2pct', 'neg4pct', '10pct')"
2025-09-17,6,301283,聚胶股份,95.7%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,42.82,46.3,+8.13%,+16.77%,第42天,2025-11-03,45,2025-10-27,2025-09-18,2025-09-18,"('neg2pct', 'neg4pct', '10pct')"
2025-09-17,7,300801,泰和科技,95.2%,case_008 (光电股份),缩量后放量+J值低位+趋势上行,2025-07-10,主板,匹配case_008: 光电股份 - 缩量后放量+J值低位+趋势上行,27.42,32.43,+18.27%,+21.15%,第47天,2025-11-03,45,2025-10-28,2025-09-19,2025-09-23,"('neg2pct', 'neg4pct', '10pct')"
2025-09-17,8,600596,新安股份,95.2%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,10.75,9.95,-7.44%,+3.26%,第23天,2025-11-03,45,-,2025-09-18,2025-09-22,"('neg2pct', 'neg4pct')"
2025-09-17,9,688772,珠海冠宇,94.7%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,22.36,26.33,+17.75%,+30.50%,第44天,2025-11-03,45,2025-09-24,2025-09-17,2025-10-13,"('neg2pct', '10pct', 'neg4pct')"
2025-09-17,10,300357,我武生物,94.6%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,29.97,35.0,+16.78%,+19.25%,第41天,2025-11-03,45,2025-10-20,2025-09-18,2025-09-19,"('neg2pct', 'neg4pct', '10pct')"
2025-09-18,1,600150,中国船舶,97.2%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,35.25,36.43,+3.35%,+4.88%,第39天,2025-11-03,45,-,2025-09-22,2025-10-13,"('neg2pct', 'neg4pct')"
2025-09-18,2,000830,鲁西化工,96.8%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,14.05,13.54,-3.63%,+6.19%,第22天,2025-11-03,45,-,2025-09-23,2025-09-23,"('neg2pct', 'neg4pct')"
2025-09-18,3,301177,迪阿股份,96.3%,case_003 (微芯生物),平台整理+缩量后放量+J值低位,2025-06-20,科创板,匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位,34.96,31.63,-9.53%,+2.75%,第0天,2025-11-03,45,-,2025-09-22,2025-09-23,"('neg2pct', 'neg4pct')"
2025-09-18,4,688065,凯赛生物,95.8%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,51.85,49.9,-3.76%,+3.53%,第0天,2025-11-03,45,-,2025-09-23,2025-10-16,"('neg2pct', 'neg4pct')"
2025-09-18,5,688480,赛恩斯,95.2%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,45.95,53.42,+16.26%,+41.44%,第26天,2025-11-03,45,2025-10-13,2025-09-19,2025-09-23,"('neg2pct', 'neg4pct', '10pct')"
2025-09-18,6,601933,永辉超市,95.0%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,5.05,4.68,-7.33%,+2.57%,第0天,2025-11-03,45,-,2025-09-19,2025-09-23,"('neg2pct', 'neg4pct')"
2025-09-18,7,603685,晨丰科技,94.8%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,17.9,20.88,+16.65%,+29.78%,第40天,2025-11-03,45,2025-10-24,2025-09-19,2025-10-13,"('neg2pct', 'neg4pct', '10pct')"
2025-09-18,8,000975,山金国际,94.8%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,20.36,21.27,+4.47%,+27.16%,第26天,2025-11-03,45,2025-09-29,-,-,-
2025-09-18,9,600426,华鲁恒升,94.7%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,25.621,25.681,+0.23%,+7.14%,第22天,2025-11-03,45,-,2025-09-22,2025-09-23,"('neg2pct', 'neg4pct')"
2025-09-18,10,300125,*ST聆达,94.5%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,6.473,8.333,+28.73%,+38.88%,第28天,2025-11-03,45,2025-09-30,2025-09-19,2025-09-22,"('neg2pct', 'neg4pct', '10pct')"
2025-09-19,1,600150,中国船舶,96.2%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,35.21,36.43,+3.46%,+5.00%,第38天,2025-11-03,45,-,2025-09-29,-,-
2025-09-19,2,603993,洛阳钼业,96.0%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,12.51,16.37,+30.86%,+45.16%,第41天,2025-11-03,45,2025-09-25,-,-,-
2025-09-19,3,688772,珠海冠宇,95.8%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,22.04,26.33,+19.46%,+32.40%,第42天,2025-11-03,45,2025-09-23,2025-10-13,2025-10-13,"('10pct', 'neg2pct', 'neg4pct')"
2025-09-19,4,000960,锡业股份,95.7%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,20.48,23.13,+12.94%,+27.88%,第25天,2025-11-03,45,2025-09-30,2025-09-23,2025-09-23,"('neg2pct', 'neg4pct', '10pct')"
2025-09-19,5,002714,牧原股份,95.7%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,53.464,51.19,-4.25%,+1.07%,第0天,2025-11-03,45,-,2025-09-22,2025-09-29,"('neg2pct', 'neg4pct')"
2025-09-19,6,688390,固德威,95.5%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,53.75,61.96,+15.27%,+23.00%,第41天,2025-11-03,45,2025-09-30,2025-09-23,2025-10-23,"('neg2pct', '10pct', 'neg4pct')"
2025-09-19,7,002539,云图控股,95.4%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,10.81,10.46,-3.24%,+1.94%,第0天,2025-11-03,45,-,2025-09-22,2025-09-22,"('neg2pct', 'neg4pct')"
2025-09-19,8,603685,晨丰科技,95.2%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,17.73,20.88,+17.77%,+31.02%,第39天,2025-11-03,45,2025-10-24,2025-10-13,2025-10-13,"('neg2pct', 'neg4pct', '10pct')"
2025-09-19,9,002047,*ST宝鹰,95.0%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,2.42,3.23,+33.47%,+33.47%,第45天,2025-11-03,45,2025-10-29,2025-09-22,2025-09-23,"('neg2pct', 'neg4pct', '10pct')"
2025-09-19,10,002237,恒邦股份,94.8%,case_008 (光电股份),缩量后放量+J值低位+趋势上行,2025-07-10,主板,匹配case_008: 光电股份 - 缩量后放量+J值低位+趋势上行,13.63,13.27,-2.64%,+20.40%,第25天,2025-11-03,45,2025-09-30,2025-10-22,2025-10-22,"('10pct', 'neg2pct', 'neg4pct')"
2025-09-22,1,600389,江山股份,96.9%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,24.79,23.45,-5.41%,+9.04%,第22天,2025-11-06,45,-,2025-09-23,2025-09-23,"('neg2pct', 'neg4pct')"
2025-09-22,2,300285,国瓷材料,96.4%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,22.5,23.07,+2.53%,+15.96%,第18天,2025-11-06,45,2025-10-09,2025-09-22,2025-09-23,"('neg2pct', 'neg4pct', '10pct')"
2025-09-22,3,600714,金瑞矿业,95.9%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,11.375,12.53,+10.15%,+12.31%,第22天,2025-11-06,45,2025-10-14,2025-09-23,2025-09-23,"('neg2pct', 'neg4pct', '10pct')"
2025-09-22,4,300125,*ST聆达,95.9%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,6.268,8.38,+33.69%,+43.43%,第24天,2025-11-06,45,2025-09-30,2025-09-22,-,"('neg2pct', '10pct')"
2025-09-22,5,688390,固德威,95.9%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,53.78,63.0,+17.14%,+22.93%,第38天,2025-11-06,45,2025-09-30,2025-09-22,2025-10-23,"('neg2pct', '10pct', 'neg4pct')"
2025-09-22,6,603520,司太立,95.8%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,11.16,10.5,-5.91%,+5.56%,第17天,2025-11-06,45,-,2025-09-23,2025-09-23,"('neg2pct', 'neg4pct')"
2025-09-22,7,688088,虹软科技,95.5%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,58.58,51.54,-12.02%,+7.85%,第17天,2025-11-06,45,-,2025-09-22,2025-09-23,"('neg2pct', 'neg4pct')"
2025-09-22,8,300437,清水源,95.4%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,8.7,12.22,+40.46%,+40.46%,第45天,2025-11-06,45,2025-10-13,2025-09-23,2025-09-23,"('neg2pct', 'neg4pct', '10pct')"
2025-09-22,9,002128,电投能源,95.3%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,21.99,26.59,+20.92%,+21.56%,第45天,2025-11-06,45,2025-10-16,-,-,-
2025-09-22,10,605060,联德股份,95.2%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,25.92,40.36,+55.71%,+55.71%,第45天,2025-11-06,45,2025-09-24,2025-10-20,-,"('10pct', 'neg2pct')"
2025-09-23,1,600196,复星医药,96.4%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,30.24,28.23,-6.65%,+2.71%,第0天,2025-11-07,45,-,2025-09-26,2025-09-29,"('neg2pct', 'neg4pct')"
2025-09-23,2,300125,*ST聆达,96.0%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,6.299,8.483,+34.67%,+42.72%,第23天,2025-11-07,45,2025-09-30,2025-09-23,-,"('neg2pct', '10pct')"
2025-09-23,3,000422,湖北宜化,95.4%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,13.05,15.33,+17.47%,+19.77%,第45天,2025-11-07,45,2025-09-29,-,-,-
2025-09-23,4,000661,长春高新,95.2%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,118.6,104.5,-11.89%,+19.54%,第17天,2025-11-07,45,2025-09-26,2025-10-23,2025-10-29,"('10pct', 'neg2pct', 'neg4pct')"
2025-09-23,5,603520,司太立,95.2%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,10.89,11.06,+1.56%,+8.17%,第16天,2025-11-07,45,-,2025-09-23,2025-11-05,"('neg2pct', 'neg4pct')"
2025-09-23,6,601595,上海电影,95.2%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,29.172,29.73,+1.91%,+7.98%,第43天,2025-11-07,45,-,2025-10-10,2025-10-13,"('neg2pct', 'neg4pct')"
2025-09-23,7,300426,华智数媒,95.1%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,10.01,9.13,-8.79%,+3.90%,第2天,2025-11-07,45,-,2025-09-29,2025-10-09,"('neg2pct', 'neg4pct')"
2025-09-23,8,301603,乔锋智能,95.0%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,78.32,75.44,-3.68%,+7.51%,第35天,2025-11-07,45,-,2025-09-23,2025-09-30,"('neg2pct', 'neg4pct')"
2025-09-23,9,001206,依依股份,94.8%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,27.871,28.391,+1.87%,+28.52%,第20天,2025-11-07,45,2025-09-29,2025-09-23,-,"('neg2pct', '10pct')"
2025-09-23,10,002816,*ST和科,94.6%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,18.29,24.82,+35.70%,+38.66%,第45天,2025-11-07,45,2025-10-10,2025-09-23,-,"('neg2pct', '10pct')"
2025-09-24,1,301257,普蕊斯,96.1%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,47.602,47.132,-0.99%,+17.08%,第36天,2025-11-10,45,2025-10-29,2025-09-26,2025-09-26,"('neg2pct', 'neg4pct', '10pct')"
2025-09-24,2,002663,普邦股份,95.4%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,2.06,2.34,+13.59%,+21.36%,第42天,2025-11-10,45,2025-10-21,2025-09-24,2025-09-29,"('neg2pct', 'neg4pct', '10pct')"
2025-09-24,3,300376,易事特,95.4%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,5.15,5.38,+4.47%,+7.38%,第33天,2025-11-10,45,-,2025-09-26,2025-09-29,"('neg2pct', 'neg4pct')"
2025-09-24,4,603613,国联股份,95.2%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,29.67,29.05,-2.09%,+7.45%,第22天,2025-11-10,45,-,2025-09-24,2025-10-20,"('neg2pct', 'neg4pct')"
2025-09-24,5,300363,博腾股份,95.0%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,25.19,25.21,+0.08%,+9.85%,第35天,2025-11-10,45,-,2025-09-24,2025-09-26,"('neg2pct', 'neg4pct')"
2025-09-24,6,603615,茶花股份,94.9%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,26.96,25.75,-4.49%,+1.26%,第0天,2025-11-10,45,-,2025-09-25,2025-09-25,"('neg2pct', 'neg4pct')"
2025-09-24,7,688375,国博电子,94.9%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,72.29,70.16,-2.95%,+10.83%,第15天,2025-11-10,45,2025-10-09,2025-09-24,2025-10-23,"('neg2pct', '10pct', 'neg4pct')"
2025-09-24,8,002211,ST宏达,94.8%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,3.39,3.75,+10.62%,+17.70%,第40天,2025-11-10,45,2025-10-30,2025-09-24,-,"('neg2pct', '10pct')"
2025-09-24,9,600592,龙溪股份,94.8%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,28.255,22.4,-20.72%,+1.95%,第1天,2025-11-10,45,-,2025-09-24,2025-09-24,"('neg2pct', 'neg4pct')"
2025-09-24,10,002021,中捷资源,94.4%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,2.76,2.76,+0.00%,+15.94%,第5天,2025-11-10,45,2025-09-25,2025-09-24,-,"('neg2pct', '10pct')"
2025-09-25,1,600233,圆通速递,95.6%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,18.72,16.85,-9.99%,+3.42%,第1天,2025-11-10,45,-,2025-09-30,2025-10-09,"('neg2pct', 'neg4pct')"
2025-09-25,2,002131,利欧股份,95.3%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,5.875,5.075,-13.62%,+3.74%,第14天,2025-11-10,45,-,2025-09-25,2025-09-26,"('neg2pct', 'neg4pct')"
2025-09-25,3,002903,宇环数控,95.0%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,23.38,24.48,+4.70%,+5.95%,第46天,2025-11-10,45,-,2025-09-26,2025-09-29,"('neg2pct', 'neg4pct')"
2025-09-25,4,600569,安阳钢铁,94.9%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,2.11,2.62,+24.17%,+34.12%,第36天,2025-11-10,45,2025-10-10,-,-,-
2025-09-25,5,301257,普蕊斯,94.5%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,47.392,47.132,-0.55%,+17.60%,第35天,2025-11-10,45,2025-10-29,2025-09-26,2025-09-29,"('neg2pct', 'neg4pct', '10pct')"
2025-09-25,6,603806,福斯特,94.5%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,15.56,16.63,+6.88%,+9.58%,第46天,2025-11-10,45,-,2025-10-13,2025-10-22,"('neg2pct', 'neg4pct')"
2025-09-25,7,000785,居然智家,94.4%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,2.92,2.96,+1.37%,+1.71%,第0天,2025-11-10,45,-,2025-09-29,-,-
2025-09-25,8,002211,ST宏达,94.3%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,3.39,3.75,+10.62%,+17.70%,第39天,2025-11-10,45,2025-10-30,2025-10-17,-,"('neg2pct', '10pct')"
2025-09-25,9,600545,卓郎智能,94.2%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,2.94,3.01,+2.38%,+13.95%,第26天,2025-11-10,45,2025-10-17,2025-09-26,2025-09-29,"('neg2pct', 'neg4pct', '10pct')"
2025-09-25,10,300329,海伦钢琴,94.2%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,13.41,17.13,+27.74%,+43.55%,第41天,2025-11-10,45,2025-10-14,2025-10-13,2025-10-13,"('neg2pct', 'neg4pct', '10pct')"
2025-09-26,1,002599,盛通股份,96.5%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,8.42,8.35,-0.83%,+2.26%,第0天,2025-11-10,45,-,2025-09-29,2025-10-13,"('neg2pct', 'neg4pct')"
2025-09-26,2,600776,东方通信,96.0%,case_003 (微芯生物),平台整理+缩量后放量+J值低位,2025-06-20,科创板,匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位,12.58,13.21,+5.01%,+10.41%,第34天,2025-11-10,45,2025-10-30,2025-10-13,2025-10-13,"('neg2pct', 'neg4pct', '10pct')"
2025-09-26,3,300279,和晶科技,95.8%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,7.52,7.51,-0.13%,+3.86%,第13天,2025-11-10,45,-,2025-10-13,2025-10-13,"('neg2pct', 'neg4pct')"
2025-09-26,4,601872,招商轮船,95.4%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,8.46,8.52,+0.71%,+11.82%,第38天,2025-11-10,45,2025-10-14,2025-09-29,2025-10-09,"('neg2pct', 'neg4pct', '10pct')"
2025-09-26,5,688015,交控科技,95.2%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,24.64,24.11,-2.15%,+4.26%,第13天,2025-11-10,45,-,2025-10-13,2025-10-13,"('neg2pct', 'neg4pct')"
2025-09-26,6,603416,信捷电气,95.2%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,62.431,65.14,+4.34%,+6.68%,第45天,2025-11-10,45,-,2025-10-13,2025-10-13,"('neg2pct', 'neg4pct')"
2025-09-26,7,688155,先惠技术,94.8%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,72.6,58.99,-18.75%,+8.13%,第13天,2025-11-10,45,-,2025-10-10,2025-10-10,"('neg2pct', 'neg4pct')"
2025-09-26,8,600606,绿地控股,94.6%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,1.81,1.82,+0.55%,+4.42%,第14天,2025-11-10,45,-,2025-09-29,-,-
2025-09-26,9,000785,居然智家,94.2%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,2.91,2.96,+1.72%,+1.72%,第45天,2025-11-10,45,-,2025-09-29,-,-
2025-09-26,10,600026,中远海能,94.0%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,12.08,12.41,+2.73%,+13.82%,第35天,2025-11-10,45,2025-10-30,2025-09-29,2025-10-09,"('neg2pct', 'neg4pct', '10pct')"
2025-09-30,1,002681,奋达科技,94.9%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,7.3,6.73,-7.81%,+1.78%,第0天,2025-11-14,45,-,2025-10-10,2025-10-13,"('neg2pct', 'neg4pct')"
2025-09-30,2,603201,常润股份,94.7%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,18.873,17.62,-6.64%,+4.93%,第36天,2025-11-14,45,-,2025-10-13,2025-10-13,"('neg2pct', 'neg4pct')"
2025-09-30,3,000727,冠捷科技,94.6%,case_008 (光电股份),缩量后放量+J值低位+趋势上行,2025-07-10,主板,匹配case_008: 光电股份 - 缩量后放量+J值低位+趋势上行,2.76,2.74,-0.72%,+2.17%,第9天,2025-11-14,45,-,2025-10-13,2025-10-13,"('neg2pct', 'neg4pct')"
2025-09-30,4,000810,创维数字,94.4%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,13.55,12.2,-9.96%,+4.72%,第10天,2025-11-14,45,-,2025-10-14,2025-10-16,"('neg2pct', 'neg4pct')"
2025-09-30,5,688356,键凯科技,94.3%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,94.45,90.8,-3.86%,+4.28%,第31天,2025-11-14,45,-,2025-10-09,2025-10-10,"('neg2pct', 'neg4pct')"
